Sample, Time, Position
Line 1
241, 0.8528309464454651, 0.0, 
241, 0.8628296852111816, 0.0981, 
242, 0.8728284239768982, 0.1962, 
241, 0.8828272223472595, 0.2943, 
238, 0.8928282260894775, 0.3925, 
244, 0.9028292298316956, 0.4906, 
244, 0.9128261208534241, 0.5887, 
239, 0.9228248596191406, 0.6868, 
237, 0.9328258633613586, 0.7849, 
238, 0.94282466173172, 0.883, 
241, 0.952825665473938, 0.9811, 
240, 0.962824821472168, 1.0792, 
242, 0.9728212952613831, 1.1774, 
238, 0.9828222990036011, 1.2755, 
242, 0.9928233027458191, 1.3736, 
242, 1.0028198957443237, 1.4717, 
238, 1.0128231048583984, 1.5698, 
240, 1.0228219032287598, 1.6679, 
238, 1.0328187942504883, 1.766, 
240, 1.04281747341156, 1.8642, 
240, 1.0042427778244019, 1.9623, 
242, 1.014241337776184, 2.0604, 
244, 1.0242422819137573, 2.1585, 
242, 1.0342410802841187, 2.2566, 
239, 1.0442379713058472, 2.3547, 
243, 1.0542389154434204, 2.4528, 
244, 1.0642402172088623, 2.5509, 
239, 1.074236512184143, 2.6491, 
240, 1.0842397212982178, 2.7472, 
240, 1.094238519668579, 2.8453, 
241, 1.1042354106903076, 2.9434, 
240, 1.1142340898513794, 3.0415, 
242, 1.1242328882217407, 3.1396, 
242, 1.1342339515686035, 3.2377, 
242, 1.1442348957061768, 3.3358, 
240, 1.154233694076538, 3.434, 
238, 1.1642305850982666, 3.5321, 
239, 1.1742315292358398, 3.6302, 
242, 1.1842303276062012, 3.7283, 
245, 1.1942291259765625, 3.8264, 
269, 1.2042323350906372, 3.9245, 
238, 1.2142311334609985, 4.0226, 
240, 1.2242276668548584, 4.1208, 
243, 1.2342267036437988, 4.2189, 
243, 1.2442255020141602, 4.317, 
238, 1.254226565361023, 4.4151, 
242, 1.2642276287078857, 4.5132, 
240, 1.274224042892456, 4.6113, 
242, 1.2842228412628174, 4.7094, 
242, 1.2942237854003906, 4.8075, 
240, 1.3042230606079102, 4.9057, 
246, 1.314221739768982, 5.0038, 
237, 1.3242249488830566, 5.1019, 
239, 1.3342214822769165, 5.2, 
240, 1.3442202806472778, 5.2981, 
238, 1.3542194366455078, 5.3962, 
239, 1.3642182350158691, 5.4943, 
240, 1.3742191791534424, 5.5925, 
238, 1.3842201232910156, 5.6906, 
243, 1.3942166566848755, 5.7887, 
242, 1.4042154550552368, 5.8868, 
238, 1.4142167568206787, 5.9849, 
242, 1.424215316772461, 6.083, 
236, 1.4342162609100342, 6.1811, 
244, 1.4442154169082642, 6.2792, 
240, 1.454214096069336, 6.3774, 
239, 1.4642128944396973, 6.4755, 
237, 1.4742143154144287, 6.5736, 
240, 1.48421049118042, 6.6717, 
243, 1.4942137002944946, 6.7698, 
242, 1.5042123794555664, 6.8679, 
240, 1.514209270477295, 6.966, 
239, 1.5242080688476562, 7.0642, 
242, 1.5342116355895996, 7.1623, 
238, 1.5442078113555908, 7.2604, 
243, 1.5542088747024536, 7.3585, 
243, 1.5642075538635254, 7.4566, 
240, 1.574206829071045, 7.5547, 
238, 1.5842055082321167, 7.6528, 
238, 1.5942068099975586, 7.7509, 
237, 1.6042029857635498, 7.8491, 
246, 1.614206314086914, 7.9472, 
238, 1.6242051124572754, 8.0453, 
240, 1.634202003479004, 8.1434, 
237, 1.6442006826400757, 8.2415, 
239, 1.654204249382019, 8.3396, 
243, 1.6642005443572998, 8.4377, 
242, 1.674201488494873, 8.5358, 
239, 1.6842002868652344, 8.634, 
238, 1.694197177886963, 8.7321, 
240, 1.7041981220245361, 8.8302, 
245, 1.7141969203948975, 8.9283, 
237, 1.7241957187652588, 9.0264, 
269, 1.7341989278793335, 9.1245, 
243, 1.7441976070404053, 9.2226, 
241, 1.7541944980621338, 9.3208, 
237, 1.7641932964324951, 9.4189, 
245, 1.7741920948028564, 9.517, 
243, 1.7841930389404297, 9.6151, 
241, 1.7941941022872925, 9.7132, 
237, 1.8041906356811523, 9.8113, 
238, 1.8141915798187256, 9.9094, 
